No,Keywords,Volume,Position,Est. Visits,Seo Difficulty,Ranking Url
78,sounds effects for dj,1600,1,498,53,http://motionarray.com/learn/royalty-free-music/dj-sound-effects/
79,disc jockey sound effects,1600,1,498,65,http://motionarray.com/learn/royalty-free-music/dj-sound-effects/
80,dj audio effects,1600,1,498,42,http://motionarray.com/learn/royalty-free-music/dj-sound-effects/
81,stocks video,14800,4,434,70,http://motionarray.com/browse/stock-video/
82,graphic in motion,6600,3,430,61,http://motionarray.com/browse/stock-motion-graphics/
83,stock footage,12100,4,425,68,http://motionarray.com/browse/stock-video/
84,music royalty free music,49500,5,421,62,http://motionarray.com/browse/royalty-free-music/
85,free music royalty free,49500,7,393,58,http://motionarray.com/browse/royalty-free-music/
86,video graphics,880,1,384,72,http://motionarray.com/browse/stock-motion-graphics/
87,royalty free music,49500,5,361,63,http://motionarray.com/browse/royalty-free-music/
88,stock motion video,1000,1,358,73,http://motionarray.com/browse/stock-video/
89,scared voice,1000,1,358,66,http://motionarray.com/sound-effects/scary-voices-109908/
90,lower third examples,880,1,314,72,http://motionarray.com/motion-graphics-templates/30-simple-lower-thirds-43245/
91,lower third example,880,1,314,70,http://motionarray.com/motion-graphics-templates/30-simple-lower-thirds-43245/
92,lower thirds examples,880,1,314,65,http://motionarray.com/motion-graphics-templates/30-simple-lower-thirds-43245/
93,stocks videos,14800,5,311,70,http://motionarray.com/browse/stock-video/
94,how to add text to premiere pro,1600,1,306,67,http://motionarray.com/learn/premiere-pro/add-text-titles-in-adobe-premiere-pro/
95,how to add text in premiere pro,1600,1,306,64,http://motionarray.com/learn/premiere-pro/add-text-titles-in-adobe-premiere-pro/
96,how to add text premiere pro,1600,1,304,73,http://motionarray.com/learn/premiere-pro/add-text-titles-in-adobe-premiere-pro/
97,graphic motion template,720,1,286,63,http://motionarray.com/browse/motion-graphics-templates/
98,fcpx template,590,1,259,57,http://motionarray.com/browse/final-cut-pro-templates/
99,video portfolio,480,1,254,57,http://motionarray.com/portfolio/
100,motion array login,720,1,251,46,http://motionarray.com/account/login/
101,premiere pro template,720,1,251,64,http://motionarray.com/browse/premiere-pro-templates/
102,motion array log in,720,1,251,47,http://motionarray.com/account/login/
103,motion graphics templates,720,1,251,56,http://motionarray.com/browse/motion-graphics-templates/
104,premiere pro templates,720,1,251,66,http://motionarray.com/browse/premiere-pro-templates/
105,motion graphic templates,720,1,251,64,http://motionarray.com/browse/motion-graphics-templates/
106,motion graphics template,720,1,251,62,http://motionarray.com/browse/motion-graphics-templates/
107,templates premiere pro,720,1,251,67,http://motionarray.com/browse/premiere-pro-templates/
108,motion graphic template,720,1,251,63,http://motionarray.com/browse/motion-graphics-templates/
109,sound of a man coming,480,1,250,57,http://motionarray.com/sound-effects/male-orgasm-moaning-sfx-588747/
110,sounds of a man coming,480,1,250,56,http://motionarray.com/sound-effects/male-orgasm-moaning-sfx-588747/
111,adobe premiere pro add text,480,1,250,68,http://motionarray.com/learn/premiere-pro/add-text-titles-in-adobe-premiere-pro/
112,templates adobe premiere,590,1,243,63,http://motionarray.com/browse/premiere-pro-templates/
113,templates for adobe premiere,590,1,243,70,http://motionarray.com/browse/premiere-pro-templates/
114,motion graphics animation,590,1,243,60,http://motionarray.com/browse/stock-motion-graphics/
115,blown out birthday candle,480,1,242,72,http://motionarray.com/stock-video/lighting-and-blowing-out-birthday-candle-885575/
